@relation plural
@attribute frequency NUMERIC
@attribute p1 {+, +l, +r, -, =, =l, =v, J, N, S, Sl, Sm, Sn, Sp, Spl, Spr, Sr, St, Str, Sv, Z, _, b, bl, br, d, dl, dm, dn, dr, f, fl, fr, g, gl, gm, gn, gr, h, j, k, kl, kn, kr, ks, kv, l, m, n, p, pj, pl, pn, pr, ps, pt, r, s, s=, sf, sk, skl, skr, sl, sm, sp, st, stj, str, sv, t, tl, tn, tr, v, vj, x, z}
@attribute p2 {#, &, ), -, /, 0, 1, 2, 6, @, B, E, I, O, U, W, X, Y, a, e, i, o, q, u, y, |, ~}
@attribute p3 {+, -, =, =t, J, N, Nk, Nkt, Ns, Nst, Nt, S, d, f, f=, fs, ft, k, ks, kst, kt, l, l=, lS, lf, lfs, lk, lks, lm, lp, lps, lpst, ls, lst, lt, lx, m, m+, m=, mf, mp, ms, mt, n, n=, nJ, nS, nd, nf, nf=, nft, ns, nst, nt, ntl, nx, p, ps, pst, pt, r, r=, rS, rf, rk, rkt, rl, rm, rn, rnst, rp, rpst, rs, rst, rt, rx, s, sp, st, t, x, x=, xs, xst, xt}
@attribute p4 {+, +l, +r, -, =, =l, =v, J, N, Nl, S, Sl, Sm, Sn, Sp, Spl, Spr, Sr, St, Str, Sv, Z, _, _m, b, bl, br, d, dl, dn, dr, f, fj, fl, fr, ft, g, gl, gm, gn, gr, h, j, k, kl, kn, kr, ks, kv, l, m, ml, n, p, pl, pn, pr, ps, r, s, s=, sf, sk, skr, skv, sl, sn, sp, sr, st, str, sv, t, tl, tn, tr, tv, v, vj, vr, x, xl, z, zn} 
@attribute p5 {#, $, &, ), /, 0, 4, @, B, E, I, O, U, W, X, Y, ^, a, e, i, o, q, u, y, (, |, ~}
@attribute p6 {+, -, =, J, N, Nk, Nks, Nkt, Nst, S, Z, _, b, f, ft, k, ks, kst, kt, l, l=, lf, lk, lm, lp, lps, ls, lst, lt, lx, m, m+, mS, mf, mp, mps, ms, mt, n, n=, nJ, nS, nd, nf, nft, ns, nst, nt, nx, p, ps, pst, pt, r, r=, r=t, rS, rf, rft, rk, rkt, rl, rm, rn, rp, rpst, rpt, rs, rst, rt, rx, s, sk, st, t, v, x, x=, xt}
@attribute gender {-, F, FM, FN, M, MF, MN, N, NF, NM}
@attribute class {-, U, Ue, Uer, e, en, er, s}

@data
3,St,B,-,v,E,rk,N,e
0,t,a,-,k,@,l,N,-
1,x,@,n,t,u,x,N,Uer
15,fl,E,-,x,@,-,F,en
0,p,U,l,f,@,r,N,-
0,n,@,n,b,B,m,M,Ue
1,k,O,n,d,O,r,M,e
2,x,@,n,b,u,x,N,Uer
8,b,@,rn,h,W,t,F,en
2,St,|,-,r,U,N,F,en
18,m,I,-,g,U,N,F,en
5,m,y,-,l,@,-,F,en
47,St,E,m,p,@,l,M,-
16,S,&,f,n,@,r,M,-
29,h,U,s,t,@,n,M,-
2,z,@,r,kr,i,k,M,e
2,p,B,-,z,@,-,F,en
158,-,-,-,n,E,rf,M,en
4,t,&,n,d,E,m,N,s
202,f,&,-,br,i,k,F,en
0,t,E,r,n,&,n=,F,en
19,n,X,-,m,o,nt,M,e
64,-,-,-,g,U,nst,F,en
5,m,I,-,g,U,N,F,en
9,n,e,-,m,@,r,M,-
2,bl,B,-,f,U,ks,M,Ue
0,=,i,-,-,E,nt,M,en
20,r,I,x,t,U,N,F,en
4,Str,|,-,m,U,N,F,en
12,v,o,-,l,i,-,N,s
3,g,a,-,z,U,N,F,en
128,z,E,lpst,m,O,rt,M,e
36,d,),-,n,@,-,M,en
4,m,&,-,t,@,-,F,en
2,S,U,=,d,&,x,N,Uer
8,x,@,-,r,@,r,M,-
0,v,@,-,r,@,nd,M,s
196,dr,o,-,-,U,N,F,en
42,k,&,p,s,@,l,F,en
0,Str,&,n,d,U,N,F,en
316,r,&,-,t,u,r,F,en
8,z,i,-,t,i,f,M,e
5,z,E,-,=,U,N,F,en
0,b,E,-,k,@,n,N,-
4,r,O,-,b,@,-,F,en
49,l,e,-,-,O,n,M,s
6,l,&,-,t,|,r,M,e
0,k,@,-,l,I,n,F,en
41,r,&,-,t,@,-,F,en
0,g,o,-,l,o,-,M,s
38,f,O,lks,f,E,st,N,e
9,m,e,-,t,@,r,MN,-
0,st,&,n,t,i,f,N,e
14,t,i,-,v,U,m,N,en
0,Str,|,-,m,U,N,F,en
3,s,@,n,S,&,ft,F,en
4894,pr,o,-,=,E,nt,N,e
24,d,@,-,-,O,rt,M,e
3,m,@,l,Sl,a,k,M,Ue
17,r,Y,k,k,B,f,M,Ue
19,h,U,-,m,@,r,M,-
2,t,W,-,l,U,N,F,en
0,=,i,-,-,o,n,F,en
4,tr,y,p,z,a,l,F,e
0,=,i,-,-,o,n,F,en
0,s,@,-,l,E,t,N,e
3,m,i,-,b,&,l,M,Ue
0,r,e,-,d,@,-,F,en
22,m,W,-,d,U,N,F,en
4,p,o,-,n,E,nt,M,en
0,d,i,-,k,@,r,M,-
2,v,W,s,h,W,t,F,en
5,f,E,r,l,U,st,M,e
4,gr,&,-,f,i,t,M,e
1,l,B,f,=,W,t,F,en
1,Sp,U,k,n,&,+,M,Ue
17,d,y,-,n,@,-,F,en
0,g,@,-,z,I,xt,N,er
1,t,E,s,t,a,t,N,e
25,-,E,nt,=,i,l,N,e
0,m,o,-,gr,&,m,N,e
3,St,W,n,b,&,Nk,F,Ue
15,-,-,-,l,&,nS,M,s
27,s,@,-,d,i,nst,M,e
1,r,&,-,t,|,r,M,e
0,k,e,r,f,I,lm,M,e
2,t,O,n,z,u,r,F,en
1,m,Y,=,x,@,n,N,-
20,tr,),-,g,@,r,M,-
78,r,Y,k,=,u,k,M,Ue
0,t,@,-,l,W,-,F,en
9,t,I,-,g,U,N,F,en
0,n,@,-,r,W,-,F,en
15,kr,B,-,z,@,-,F,en
0,t,a,-,f,@,l,F,en
0,=,i,-,-,@,r,M,-
121,-,&,n,k,U,nft,F,Ue
0,p,@,-,l,a,n,M,e
3,-,o,ns,-,a,r=t,M,Ue
0,-,&,n,f,&,N,M,Ue
0,g,@,-,r,I,xt,N,e
27,p,O,r,t,a,l,N,e
0,-,E,r,m,@,l,M,-
1,g,X,-,d,U,N,F,en
58,r,E,k,t,u,r,F,en
3,-,E,ks,tr,&,kt,M,e
106,-,-,-,v,W,p,N,er
0,pl,&,-,n,a,t,M,e
3,d,y,-,n,@,-,F,en
2,n,U,-,m,@,r,F,en
1,St,W,-,g,U,N,F,en
125,-,E,n,t,@,-,F,en
1,Sl,),-,f,@,r,M,-
82,gr,U,-,p,@,-,F,en
0,t,&,-,S,@,-,F,en
41,h,Y,f,t,@,-,F,en
14,l,e,-,r,@,r,M,-
1,h,o,x,t,o,n,M,Ue
8,k,E,-,t,@,-,F,en
0,-,&,r,d,@,-,F,en
104,kr,B,s,h,a,r,N,e
0,m,@,-,l,W,-,F,en
0,n,o,-,n,@,-,F,en
0,tr,a,-,-,&,lt,M,e
1,v,a,-,g,@,n,M,-
0,gl,i,-,Z,e,-,N,s
3,=,I,-,s,@,-,F,en
0,l,U,-,N,@,-,F,en
30,fl,U,-,s,U,N,F,en
0,m,e,-,t,@,r,N,-
5,h,I,-,=,U,N,F,en
1,k,u,-,g,@,l,F,en
42,gr,a,-,f,I,k,F,en
13,-,&,-,t,u,r,F,en
0,b,W,x,t,@,-,F,en
0,-,&,k,s,@,-,F,en
0,n,a,x,r,I,xt,F,en
6,z,W,-,t,@,-,F,en
56,=,i,-,r,U,N,F,en
17,m,&,n,d,&,nt,M,en
0,r,o,-,gr,a,f,M,en
0,f,o,-,=,y,t,M,en
32,-,-,-,l,&,k,M,e
135,m,@,n,k,U,nft,F,Ue
22,k,O,+,t,u,x,N,Uer
1,t,@,r,x,@,n,N,-
13,s,@,r,Str,a,l,M,en
72,l,I,s,m,U,s,M,en
0,b,U,-,d,@,l,F,en
167,-,-,-,t,&,n=,M,Ue
0,d,I,-,g,@,r,M,-
9,St,u,-,f,@,-,F,en
0,b,I,n,d,U,N,F,en
0,t,a,-,z,@,-,F,en
2,k,&,r,t,@,-,F,en
3,ps,o,-,d,i,-,F,en
20,f,a,-,d,@,n,M,U
22,k,U,l,t,u,r,F,en
6,l,X,t,n,&,nt,M,s
0,l,a,-,d,U,N,F,en
35,g,I,-,+,@,l,N,-
0,gm,E,nt,dr,U,k,M,e
0,pr,a,-,n,I,st,M,en
0,r,&,-,=,@,-,F,en
0,t,@,-,r,W,-,F,en
31,l,@,-,r,i,-,F,en
68,g,o,-,g,@,-,M,en
41,=,i,-,-,o,n,F,en
20,t,i,-,k,@,r,M,-
3,l,E,n,d,@,r,M,-
260,-,E,ks,p,O,rt,M,e
0,r,W,s,l,W,n,N,-
1,-,I,n,b,I,lt,N,er
1,bl,e,-,z,@,r,M,-
0,v,E,r,t,@,r,M,-
515,m,u,-,n,I,st,M,en
0,=,i,-,-,o,n,F,en
0,g,@,r,kl,W,t,N,er
2,t,@,r,v,&,l,N,e
29,f,a,-,t,@,r,M,U
3,Sv,I,m,h,B,t,F,Ue
0,m,E,rk,v,O,rt,N,Uer
0,p,@,n,kr,B,t,N,Uer
20,t,U,Ns,d,i,nst,M,e
169,t,@,r,Sr,I,ft,F,en
1,f,i,r,k,&,nt,M,e
0,=,W,-,x,@,n,N,-
140,n,e,-,b,@,l,M,-
307,St,I,-,m,U,N,F,en
0,tr,E,-,n,@,r,M,-
3,l,|,-,n,@,r,M,-
2,h,&,n,dl,U,N,F,en
9,p,U,-,bl,i,k,F,en
1,=,i,-,-,o,n,F,en
39,-,U,m,=,u,k,M,Ue
4,Sp,i,-,g,@,l,M,-
92,k,@,l,h,W,t,F,en
4,r,W,-,z,@,-,F,en
1,f,e,-,d,@,r,F,en
2,Sl,&,p,-,o,r,N,en
0,g,@,-,f,),s,N,e
5,n,@,n,h,o,f,M,Ue
64,+,W,-,f,@,-,F,en
290,z,O,-,vj,E,t,M,s
2,r,i,-,m,@,n,M,-
2,m,E,-,m,@,-,F,en
4,b,W,-,Sp,i,l,N,e
6,s,@,r,gl,a,s,N,Uer
101,fr,W,-,=,W,t,F,en
280,gr,Y,n,d,U,N,F,en
10,l,I,x,k,W,t,F,en
4,St,a,l,dr,a,t,M,Ue
0,=,i,-,-,o,n,F,en
0,g,E,n,d,@,-,F,en
139,k,O,n,=,E,rn,M,e
0,m,y,-,r,@,-,F,en
4,n,i,-,-,@,-,F,en
89,S,B,-,Sp,i,l,N,e
36,gr,U,nt,r,I,s,M,e
21,m,o,-,n,i,-,F,en
25,b,W,-,t,@,r,M,-
1,r,e,-,d,@,-,F,en
0,k,E,-,s,@,-,M,en
2,kl,&,-,s,@,-,F,en
0,m,e,-,t,@,r,N,-
1,Str,a,-,s,@,-,F,en
0,b,&,n,d,@,-,F,en
7,fl,&,-,S,@,-,F,en
0,s,@,n,v,&,nt,F,Ue
12,=,i,-,-,U,N,F,en
16,m,i,-,d,@,-,F,en
0,bl,u,-,t,U,N,F,en
2,k,e,-,r,@,r,M,-
8,l,&,s,t,U,N,F,en
17,t,E,-,r,0,-,N,s
1,-,I,n,z,E,kt,N,en
25,l,i,-,t,),t,F,en
541,-,-,-,b,&,Nk,F,Ue
0,v,W,-,d,@,-,F,en
0,p,E,n,t,a,n,N,e
2,Z,@,-,r,i,-,F,en
1,-,-,-,b,&,lk,N,Uer
0,S,u,-,l,@,-,F,en
2,-,-,-,+r,O,+,M,e
13,d,@,-,gl,i,t,N,er
12,g,E,lp,z,U,xt,F,Ue
0,n,&,S,m,B,l,N,Uer
0,=,i,-,-,o,n,F,en
2,g,@,-,b,u,rt,F,en
77,=v,i,-,b,@,l,F,en
0,-,&,n,St,&,lt,F,en
4,-,E,nt,h,B,s,N,Uer
0,d,E,-,k,U,N,F,en
6,-,E,nt,l,W,n,N,-
0,bl,&,-,s,@,r,M,-
11,fl,y,-,g,@,l,M,-
0,z,i,-,t,),t,F,en
2,St,e,-,v,@,n,M,-
55,-,O,r,dn,U,N,F,en
16,x,@,-,r,U,N,F,en
1,l,I,Ns,p,a,r,N,e
0,=,Y,n,d,U,N,F,en
0,g,@,-,r,I,xt,N,e
0,g,@,-,r,I,xt,N,e
5,l,a,-,m,a,-,M,s
6,t,u,-,t,@,-,F,en
0,gl,O,-,k,@,-,F,en
0,t,&,n,t,I,n,F,en
22,k,I,-,l,@,r,M,-
46,-,-,-,-,E,l,N,-
0,p,O,l,st,@,r,N,-
27,v,o,-,t,U,m,N,en
0,k,&,p,sl,U,N,F,en
0,k,O,r,n,E,t,N,e
0,=,Y,n,d,U,N,F,en
93,r,i,-,-,U,m,N,en
0,l,W,-,t,@,r,M,-
45,g,e,p,n,I,s,N,e
0,m,I,-,s,),r,M,e
2,m,i,-,r,U,N,F,en
18,-,W,n,Sl,U,s,M,Ue
15,v,e,-,g,U,N,F,en
239,tr,e,-,t,U,N,F,en
0,h,X,-,+,e,rt,N,e
1,t,I,-,g,U,N,F,en
0,l,),-,m,U,N,F,en
15,n,a,x,t,I,S,M,e
0,-,o,ns,v,e,rt,M,e
0,l,&,nt,fr,B,-,F,en
0,=,i,-,-,o,n,F,en
16,-,-,-,n,a,t,F,Ue
1,z,i,p,dr,U,k,M,e
0,kr,u,-,m,@,-,F,en
73,z,O,rk,n,I,s,F,e
0,=,i,-,-,o,n,F,en
0,tr,a,k,k,O,rp,M,Ue
12,d,I,-,g,U,N,F,en
1,z,a,-,m,U,N,F,en
2,tr,O,-,t,@,l,M,-
0,-,&,-,f,@,-,M,en
9,b,@,l,k,W,t,F,en
22,p,B,-,z,@,-,F,en
3,-,U,r,t,W,l,N,e
4,z,@,-,m,&,rS,M,Ue
42,-,a,-,dl,@,r,M,-
0,d,@,-,l,U,N,F,en
1,-,-,-,z,E,n,M,e
2,t,a,-,l,I,n,F,en
34,-,W,-,gn,U,N,F,en
4,Sl,a,ks,r,E,xt,N,e
0,k,@,-,r,U,N,F,en
0,g,e,-,n,i,-,F,en
0,f,|,n,v,I,nt,M,e
0,t,@,n,h,E,ft,N,e
1,l,a,-,g,@,-,N,-
6,pr,o,-,b,@,-,F,en
1,Sl,&,x,t,U,N,F,en
1,l,W,-,t,@,r,F,en
5,l,e,-,-,U,m,N,en
1,r,I,-,t,I,st,M,en
55,n,i,-,b,U,s,M,e
2,m,i,-,r,U,N,F,en
19,-,-,-,St,W,k,M,e
21,f,@,-,r,u,f,M,e
5,g,@,-,r,U,N,F,en
15,S,@,n,g,E,lt,N,er
116,l,i,-,g,@,n,N,-
11,d,I,x,-,W,n,N,-
1,m,y,l,r,a,t,N,Uer
0,r,a,-,d,@,-,F,en
2,=,X,-,n,U,N,F,en
0,-,u,-,z,U,s,M,-
3,t,a,-,n,@,r,M,-
17,kr,&,-,=,@,r,M,-
39,n,@,-,r,I,n,F,en
279,-,o,-,r,i,-,F,en
20,d,&,N,k,@,-,M,en
8,v,W,s,br,o,t,N,e
0,Sp,&,-,g,a,t,M,e
13,l,I,n,z,@,-,F,en
1,t,a,-,n,@,r,M,-
12,p,&,rk,b,&,Nk,F,Ue
4,S,&,-,t,@,n,M,-
6,t,X,-,f,@,r,M,-
67,-,-,-,Sm,U,k,M,e
0,k,&,s,t,@,n,M,U
3,-,&,p,z,I,xt,F,en
0,z,E,p,s,I,s,F,en
0,-,&,r,b,W,t,F,en
0,v,y,-,l,@,r,M,-
8,-,-,-,tr,a,n,M,e
0,tr,&,m,v,e,-,F,s
1,l,I,Ns,St,i,l,M,e
0,z,e,-,k,@,l,M,-
2,b,@,-,tr,i,p,M,e
0,z,E,-,N,@,r,M,-
8,h,e,r,g,&,N,M,Ue
1,=,i,-,-,o,n,F,en
3,S,&,nt,t,a,t,F,en
8,z,i,-,r,U,N,F,en
0,n,I,-,k,@,l,M,-
101,k,&,-,n,a,l,M,Ue
0,Sn,I,-,=,@,l,N,-
0,f,y,-,r,U,N,F,en
1,-,I,n,z,@,l,F,en
14,kl,),-,g,@,r,M,-
0,k,@,n,pl,&,=,M,Ue
298,br,e,-,m,@,n,N,-
451,br,Y,-,s,@,l,N,-
1,n,i,-,-,@,-,F,en
0,n,i,-,S,@,-,F,en
6,t,e,-,z,@,-,F,en
17,l,W,s,t,U,N,F,en
0,-,a,-,d,@,r,F,en
0,b,E,-,k,@,n,N,-
31,g,e,-,b,@,r,M,-
4,-,-,-,-,&,lm,F,en
0,m,@,-,l,i,n,N,e
1,g,E,-,N,@,r,M,-
1,=,i,-,-,o,n,F,en
4,St,&,rk,Str,o,m,M,Ue
4,S,Y,-,=,@,r,M,-
4,b,i,-,-,I,st,M,en
0,dr,Y,-,k,@,r,M,-
1,-,W,t,br,U,x,M,Ue
7,d,U,Ns,St,Y,k,N,e
0,h,|,s,x,@,n,N,-
12,d,E,n,t,I,n,F,en
5,p,o,-,-,e,m,N,e
15,v,I,-,kl,U,N,F,en
0,p,@,-,r,@,r,M,-
18,m,I,-,S,U,N,F,en
0,z,&,-,x,@,-,F,en
34,-,-,-,Str,W,x,M,e
91,-,O,r,d,@,n,M,-
25,l,E,n,d,@,r,N,-
1,k,a,-,n,u,-,N,s
2,z,W,l,b,a,n,F,en
0,-,O,r,d,@,n,M,-
0,f,E,r,z,u,x,M,e
3,m,E,r,k,U,N,F,en
3,m,e,-,t,I,k,F,en
2,d,I,-,g,@,r,M,-
0,gr,o,p,Sm,i,t,M,e
0,pl,&,s,t,I,k,F,en
16,kr,X,-,=,@,r,M,-
0,l,B,f,b,a,n,F,en
255,-,O,p,j,E,kt,N,e
71,h,B,-,-,@,r,M,-
0,b,u,-,x,@,-,F,en
2962,-,-,-,St,a,t,M,en
0,t,i,r,S,B,-,F,en
0,kr,&,N,k,@,-,M,en
1,pr,E,-,l,@,r,M,-
0,S,&,l,t,U,N,F,en
17,l,a,-,g,@,-,F,en
2,kn,O,-,x,@,n,M,-
0,gl,i,-,-,O,n,N,en
12,Sv,|,-,r,@,r,M,-
0,-,o,-,f,I,lm,M,e
0,h,B,-,-,@,r,M,-
0,k,u,-,h,B,t,F,Ue
0,g,@,-,S,E,ft,N,e
1,gr,i,s,br,W,-,M,e
11,v,&,-,s,@,r,N,-
0,j,@,-,m,q,-,N,s
0,p,&,s,-,&,mt,N,Uer
34,+,O,r,t,@,-,F,en
4,g,@,-,St,&,lt,F,en
146,St,&,-,t,U,N,F,en
0,k,u,-,x,@,n,M,-
37,v,E,t,l,B,f,M,Ue
2,ks,i,-,St,&,nt,M,Ue
70,k,Y,r,=,U,N,F,en
0,z,i,-,n,U,s,M,-
44,l,e,-,g,U,N,F,en
7,Spr,a,-,x,@,-,F,en
0,str,u,-,m,E,nt,N,e
2,z,I,x,k,W,t,F,en
1,m,X,l,x,@,n,N,-
0,d,o,-,z,@,-,F,en
14,m,o,-,t,O,r,M,en
3,m,I,t,v,O,x,M,e
0,k,@,-,r,I,n,F,en
12,-,-,-,bl,O,x,MN,Uer
0,p,W,t,S,@,-,F,en
0,n,o,-,z,@,-,F,en
13,-,e,rt,r,U,J,M,e
0,-,&,-,x,a,t,M,e
3,b,i,-,r,U,N,F,en
3,r,I,x,t,U,N,F,en
32,v,i,-,g,@,-,F,en
248,r,&,-,t,u,r,F,en
20,St,U,n,d,@,-,F,en
62,l,I,x,k,W,t,F,en
54,d,@,r,k,&,m+,M,Ue
200,l,e,k,S,&,ft,F,en
2,s,@,r,Sl,&,xt,F,en
0,br,U,nft,h,I,rS,M,e
0,k,&,n,t,@,-,F,en
0,k,@,-,l,U,N,F,en
4,l,e,-,r,@,-,F,en
2,t,y,-,p,U,N,F,en
0,t,@,l,z,U,xt,F,Ue
0,l,i,-,r,@,r,M,-
1,-,a,-,n,@,r,M,-
20,-,-,-,gr,B,-,N,-
0,t,@,r,S,U,s,M,Ue
3,l,B,-,-,@,r,M,-
0,kr,o,-,k,&,nt,M,s
0,St,E,l,x,@,n,N,-
65,-,@,-,r,@,r,M,-
4,b,I,-,t,@,-,F,en
0,k,a,n,d,@,r,M,-
149,-,-,-,m,/,nx,M,e
5,d,e,-,-,a,l,N,e
312,=,i,-,-,o,n,F,en
120,-,&,n,bl,I,k,M,e
5,k,I,rS,b,B,m,M,Ue
0,=,i,-,-,o,n,F,en
10,t,@,r,St,&,t,F,Ue
5,v,&,x,m,&,n,M,Uer
65,f,W,-,-,@,r,F,en
16,-,-,-,m,&,st,M,en
5,l,E,-,t,@,-,M,en
1,n,O,-,s,@,-,M,en
2,r,&,m,p,@,-,F,en
1,v,&,-,r,&,nt,M,s
0,d,U,rx,Sl,U,+,M,e
3,l,@,-,r,I,st,M,en
7,b,B,-,kl,O,=,M,Ue
2,m,W,s,t,@,r,M,-
7,m,I,lx,b,a,r,F,s
11,t,@,r,n,&,xt,F,Ue
0,-,o,ns,=,W,t,F,en
1,k,&,r,t,@,-,F,en
4,Sn,&,-,l,@,-,F,en
0,+l,&,n,=,@,-,F,en
1,p,U,n,=,@,l,F,en
30,S,u,l,=,W,t,F,en
54,Str,o,-,f,@,-,F,en
0,kr,&,-,m,E,nt,N,e
6,p,O,-,r,e,-,M,s
1,b,@,n,h,W,t,F,en
4,n,U,-,m,@,r,F,en
6,r,I,-,l,@,-,F,en
1,j,U,-,N,@,-,M,en
1,-,-,-,p,&,nJ,M,s
0,m,E,-,s,@,r,N,-
0,m,&,-,S,e,-,N,s
7,kr,e,-,d,i,t,M,e
4,g,@,n,l,&,nt,N,Uer
9,=,i,-,-,o,n,F,en
19,St,E,-,l,U,N,F,en
187,z,o,-,f,i,-,F,en
0,t,e,-,t,@,-,F,en
18,t,W,-,l,U,N,F,en
1,t,@,-,pl,&,=,M,Ue
77,m,a,-,g,@,n,M,U
20,b,@,r,f,&,l,M,Ue
0,S,I,n,j,~,-,M,s
0,t,&,r,z,U,s,M,en
141,m,W,n,S,&,ft,F,en
3,Sv,),-,b,I,n,F,en
1,x,i,-,-,@,-,F,en
1,m,@,n,gl,a,s,N,Uer
6,x,@,-,r,W,-,F,en
5,-,W,n,g,&,N,M,Ue
8,d,I,-,g,U,N,F,en
18,-,U,l,tr,a,-,M,s
11,Sv,W,-,s,@,r,M,-
12,-,@,n,h,W,m,N,e
6,d,Y,-,n,U,N,F,en
0,l,E,n,t,o,-,N,s
1,d,E,n=,St,&,t,F,Ue
13,z,@,r,r,W,x,N,e
2,kv,o,-,t,@,-,F,en
0,z,i,-,-,o,n,F,en
10,d,E,n=,f,&,l,M,Ue
39,g,@,-,z,E,=,N,e
0,h,&,n,dl,U,N,F,en
1,g,@,n,d,&,x,N,Uer
11,g,@,-,z,),s,N,e
32,v,E,n,d,U,N,F,en
12,-,-,-,-,&,xt,F,en
22,n,i,-,z,o,n,F,en
0,z,Y,l,=,@,-,F,en
6,d,i,-,-,E,n=,F,en
0,r,W,s,=,a,n,M,Ue
3,t,E,x,n,I,k,F,en
4,n,a,-,m,@,-,F,en
0,-,e,-,l,@,r,M,-
1,t,i,f,r,E,xt,N,e
18,l,X,x,t,@,-,F,en
48,-,&,l,t,a,r,M,Ue
8,d,I,x,k,W,t,F,en
0,z,E,lpst,S,U,s,M,Ue
1,l,E,-,=,U,N,F,en
0,n,i,-,r,@,-,F,en
189,tr,),-,n,@,-,F,en
16,h,B,s,fl,u,r,M,e
3,=,i,-,-,o,n,F,en
259,S,a,-,d,@,n,M,-
1,l,U,N,s,O,rt,M,e
0,p,E,r,l,@,-,F,en
12,b,@,-,tr,i,p,M,e
0,Sp,i,s,b,O,k,M,Ue
0,+l,&,s,t,@,r,N,-
0,g,E,-,N,@,r,M,-
0,t,U,rk,St,&,m,M,Ue
3,d,I,x,t,U,N,F,en
0,n,u,-,g,&,t,MN,s
13,m,&,x,t,U,N,F,en
15,fr,&,-,gm,E,nt,N,e
0,-,O,p,t,@,r,N,-
1,f,y,-,g,U,N,F,en
0,k,O,-,l,@,r,M,-
24,m,U,Ns,r,E,xt,N,e
1,n,@,r,Sl,a,k,M,Ue
4,f,i,-,=,E,n=,F,en
3,-,&,r,b,W,t,F,en
0,x,@,-,r,U,N,F,en
13,Sn,I,-,=,@,l,N,-
3,m,@,r,l,i,t,N,er
6,t,i,f,St,&,nt,M,Ue
94,n,a,-,m,@,-,F,en
2,Spr,E,-,N,@,r,M,-
0,b,@,-,h,&,N,M,Ue
8,-,X,-,t,@,r,N,-
0,z,e,-,z,@,l,M,-
24,-,E,-,f,E,kt,M,e
2,S,o,-,t,@,-,M,en
7,l,I,-,x,U,N,F,en
12,dr,E,-,s,a,t,M,en
5,l,i,-,t,),t,F,en
5,l,@,-,r,W,-,F,en
1,z,@,n,d,U,ft,M,Ue
7,r,i,-,t,),t,F,en
3,z,E,n,d,U,N,F,en
0,t,@,r,b,u,x,N,Uer
0,Sl,Y,-,s,@,l,M,-
8,t,E,n=,-,&,Nst,F,Ue
0,l,@,n,-,a,r=t,M,Ue
21,tr,i,-,g,@,-,F,en
0,k,B,-,t,@,r,M,-
0,v,&,x,t,@,l,F,en
2,x,o,-,z,@,-,F,en
3,d,a,-,t,U,m,N,en
308,l,I,s,m,U,s,M,en
42,v,a,-,l,@,-,M,en
11,=,i,-,-,o,n,F,en
17,Sn,e,-,St,U,rm,M,Ue
0,m,i,-,t,@,-,F,en
4,m,E,-,s,@,r,M,-
8,Sm,U,k,St,Y,k,N,e
0,b,@,r,r,O,k,M,Ue
193,-,-,-,t,E,kst,M,e
3,l,i,-,t,),t,F,en
16,-,a,-,m,E,n,N,-
0,-,-,-,j,&,k,M,s
4,s,@,-,r,W,-,F,en
49,Sr,&,N,k,@,-,F,en
2,-,o,-,f,@,n,M,U
16,r,E,n,d,a,r,M,e
7,z,@,-,r,I,n,F,en
7,f,E,-,N,@,r,M,-
248,l,I,x,k,W,t,F,en
46,pr,o,-,f,i,t,M,e
0,-,&,n,f,&,N,M,Ue
3,v,o,-,n,U,N,F,en
0,v,E,-,k,U,N,F,en
1,fl,i,-,g,@,-,F,en
4,S,@,n,gl,i,t,N,er
1,tr,o,-,n,o,m,N,e
7,f,E,r,z,u,x,M,e
0,z,&,l,b,@,-,F,en
6,z,i,-,r,U,N,F,en
77,p,&,rt,n,@,r,M,-
3,r,W,s,f,E,lt,N,er
0,-,i,-,m,a,m,M,s
0,l,I,Ns,n,E,=,N,e
0,h,&,n,dl,U,N,F,en
125,n,a,-,m,@,-,F,en
70,d,&,l,j,@,-,F,en
754,g,@,-,v,&,lt,F,en
0,t,@,r,d,E,k,N,s
2,gr,u,-,b,@,-,F,en
18,kr,X,=,=,u,k,M,Ue
0,-,@,-,r,I,n,F,en
7,b,@,r,m,E,nS,M,en
9,-,-,-,Sl,I,f,M,e
42,=,i,-,r,U,N,F,en
28,z,i,-,d,E,nt,M,en
407,f,E,r,gl,W,x,M,e
117,=,I,-,m,@,r,N,-
0,t,o,-,r,a,l,N,e
2,Sl,U,s,St,W,n,M,e
0,b,I,n,d,@,r,M,-
0,h,&,l,t,@,r,M,-
34,h,W,m,v,e,k,M,e
0,k,o,-,l,U,N,F,en
2,pr,W,-,z,U,N,F,en
5,d,a,-,t,U,m,N,en
3,p,U,-,l,@,-,F,en
9,kr,&,-,l,@,-,F,en
0,m,I,n,=,@,-,F,en
105,St,E,-,l,U,N,F,en
2,St,a,-,p,@,l,M,-
2,l,E,-,=,U,N,F,en
0,-,-,-,br,O,n,M,en
0,v,I,rt,S,&,ft,F,en
2,f,u,-,r,@,-,F,en
81,m,O,n,str,&,nt,M,en
1,b,@,-,l,U,N,F,en
1,S,&,S,l,I,k,M,s
0,-,&,r,b,W,t,F,en
3,h,|,r,d,@,-,F,en
0,n,i,-,r,U,N,F,en
2,f,a,r,pl,a,n,M,Ue
8,S,X,-,z,a,l,N,e
52,n,e,-,m,@,r,M,-
0,b,@,-,n,@,-,F,en
0,St,U,n,d,@,-,F,en
0,-,&,pt,v,a,l,F,en
