@relation past-tense
@attribute frequency NUMERIC
@attribute p1 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p2 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p3 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p4 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p5 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p6 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p7 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p8 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p9 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute class { IRREG-aI-aU.,  IRREG-aI-eI.,  IRREG-aI-I.,  IRREG-aI-O:., IRREG-aI-O.,  IRREG-aI-u:.,  IRREG-aI-@U.,  IRREG-aI-V.,  IRREG-CONV., IRREG-@+d.,  IRREG-d-t.,  IRREG-E-&.,  IRREG-eI-u:.,  IRREG-eI-@U., IRREG-eI-U.,  IRREG-E-O.,  IRREG-E@-O:.,  IRREG-I-&.,  IRREG-i:-E., IRREG-i:-E+d.,  IRREG-I-eI.,  IRREG-i:-E+t.,  IRREG-i:-O:., IRREG-i:-@U.,  IRREG-I-U.,  IRREG-I-V.,  IRREG-@+ked.,  IRREG-O:-E., IRREG-OTHER.,  IRREG-O-u.,  IRREG-O:-u:.,  IRREG-@-s+ed.,  IRREG-@+t., IRREG-@U-E.,  IRREG-@U-ju:.,  IRREG-u:-O.,  IRREG-u:-@U., IRREG-@U-u:.,  IRREG-&-V.,  IRREG-V-&.,  IRREG-V-eI.,  REG.}

@data
31,=,=,=,=,=,=,kj,u:,b,REG.
65,=,=,=,k,V,=,dl#,=,=,REG.
41,=,=,=,=,=,=,k,V,f,REG.
49,=,=,=,=,=,=,k,V,l,REG.
251,k,V,l,t,I,=,v,eI,t,REG.
71,=,=,=,=,=,=,k,V,p,REG.
95,=,=,=,=,=,=,k,3:,b,REG.
36,=,=,=,k,3:,=,dl#,=,=,REG.
383,=,=,=,=,=,=,kj,U@,r*,REG.
273,=,=,=,=,=,=,k,3:,l,REG.
11,=,=,=,k,V,=,r,I,=,REG.
273,=,=,=,=,=,=,k,3:,s,REG.
63,=,=,=,k,3:,=,t,eI,l,REG.
27,=,=,=,k,3:,=,tn#,=,=,REG.
24,=,=,=,k,3:,t,s,I,=,REG.
222,=,=,=,=,=,=,k,3:,v,REG.
43,=,=,=,k,U,=,Sn#,=,=,REG.
10,=,=,=,=,=,=,k,V,s,REG.
3415,=,=,=,=,=,=,k,V,t,IRREG-CONV.
110,=,=,=,s,aI,=,kl#,=,=,REG.
81,=,=,=,=,=,=,d,&,b,REG.
43,=,=,=,d,&,=,bl#,=,=,REG.
29,=,=,=,d,&,=,l,I,=,REG.
19,=,=,=,=,=,=,d,&,m,REG.
662,=,=,=,d,&,=,m,I,dZ,REG.
338,=,=,=,=,=,=,d,&,m,REG.
50,=,=,=,=,=,=,d,&,mp,REG.
55,=,=,=,d,&,m,p,@,n,REG.
1177,=,=,=,=,=,=,d,A:,ns,REG.
10,=,=,=,d,&,n,dl#,=,=,REG.
175,=,=,=,d,&,N,gl#,=,=,REG.
18,=,=,=,d,&,=,pl#,=,=,REG.
861,=,=,=,=,=,=,d,E@,r*,REG.
209,=,=,=,d,A:,=,k,@,n,REG.
44,=,=,=,=,=,=,d,A:,n,REG.
151,=,=,=,=,=,=,d,A:,t,REG.
231,=,=,=,=,=,=,d,&,S,REG.
442,=,=,=,=,=,=,d,eI,t,REG.
14,=,=,=,=,=,=,d,O:,b,REG.
70,=,=,=,=,=,=,d,O:,nt,REG.
42,=,=,=,d,O:,=,dl#,=,=,REG.
110,=,=,=,=,=,=,d,O:,n,REG.
44,=,=,=,d,eI,=,dr,i:,m,REG.
161,=,=,=,=,=,=,d,eI,z,REG.
230,=,=,=,d,&,=,zl#,=,=,REG.
34,=,=,=,d,E,=,dn#,=,=,REG.
78,=,=,=,d,E,=,fn#,=,=,REG.
1871,=,=,=,=,=,=,d,i:,l,IRREG-i:-E+t.
10,=,=,=,d,I,=,b,A:,k,REG.
43,=,=,=,d,I,=,b,eI,s,REG.
211,=,=,=,d,I,=,b,eI,t,REG.
11,=,=,=,d,I,=,b,O:,tS,REG.
41,b,I,=,l,I,=,t,eI,t,REG.
10,=,=,=,d,E,=,b,I,t,REG.
10,=,=,=,d,I,=,k,&,mp,REG.
16,=,=,=,d,I,=,k,&,nt,REG.
22,k,&,=,p,I,=,t,eI,t,REG.
155,=,=,=,d,I,=,k,eI,=,REG.
237,=,=,=,d,I,=,s,i:,v,REG.
10,s,E,=,l,@,=,r,eI,t,REG.
49,s,E,n,tr,@,=,l,aI,z,REG.
4479,=,=,=,d,I,=,s,aI,d,REG.
22,d,E,=,s,I,=,m,eI,t,REG.
51,d,I,=,s,aI,=,f,@,r*,REG.
33,=,=,=,=,=,=,d,E,k,REG.
17,=,=,=,d,I,=,kl,eI,m,REG.
989,=,=,=,d,I,=,kl,E@,r*,REG.
584,=,=,=,d,I,=,kl,aI,n,REG.
35,=,=,=,d,i:,=,k,@U,d,REG.
12,k,O,=,l,@,=,n,aI,z,REG.
20,d,i:,=,k,@,m,p,@U,z,REG.
359,d,E,=,k,@,=,r,eI,t,REG.
256,=,=,=,d,i:,=,kr,i:,s,REG.
71,=,=,=,d,I,=,kr,i:,=,REG.
31,=,=,=,d,I,=,kr,aI,=,REG.
181,d,E,=,d,I,=,k,eI,t,REG.
98,=,=,=,d,I,=,dj,u:,s,REG.
61,=,=,=,d,I,=,d,V,kt,REG.
105,=,=,=,=,=,=,d,i:,m,REG.
137,=,=,=,d,i:,=,p,@,n,REG.
18,=,=,=,d,I,=,f,eI,s,REG.
11,=,=,=,d,I,=,f,eI,m,REG.
15,=,=,=,d,I,=,f,O:,lt,REG.
465,=,=,=,d,I,=,f,i:,t,REG.
18,d,E,=,f,@,=,k,eI,t,REG.
38,=,=,=,d,I,=,f,E,kt,REG.
839,=,=,=,d,I,=,f,E,nd,REG.
82,=,=,=,d,I,=,f,3:,r*,REG.
42,=,=,=,d,I,=,f,aI,l,REG.
990,=,=,=,d,I,=,f,aI,n,REG.
39,=,=,=,d,I,=,fl,eI,t,REG.
82,=,=,=,d,I,=,fl,E,kt,REG.
30,=,=,=,d,I,=,f,O:,m,REG.
10,=,=,=,d,I,=,fr,O:,d,REG.
16,=,=,=,d,i:,=,fr,O,st,REG.
36,=,=,=,d,i:,=,fj,u:,z,REG.
203,=,=,=,d,I,=,f,aI,=,REG.
53,dZ,E,=,n,@,=,r,eI,t,REG.
139,=,=,=,d,I,=,gr,eI,d,REG.
29,hj,u:,=,m,@,=,n,aI,z,REG.
10,d,i:,=,h,aI,=,dr,eI,t,REG.
23,=,=,=,=,=,=,d,eI,n,REG.
459,=,=,=,d,I,=,l,eI,=,REG.
48,d,E,=,l,I,=,g,eI,t,REG.
37,=,=,=,d,I,=,l,i:,t,REG.
40,l,I,=,b,@,=,r,eI,t,REG.
619,=,=,=,d,I,=,l,aI,t,REG.
25,l,I,=,n,I,=,=,eI,t,REG.
834,d,I,=,l,I,=,v,@,r*,REG.
58,=,=,=,d,I,=,l,u:,d,REG.
15,=,=,=,d,E,=,lj,u:,dZ,REG.
28,=,=,=,=,=,=,d,E,lv,REG.
1433,=,=,=,d,I,=,m,A:,nd,REG.
32,=,=,=,d,I,=,m,i:,n,REG.
16,m,O,=,kr,@,=,t,aI,z,REG.
133,d,I,=,m,O,=,l,I,S,REG.
821,d,E,=,m,@,n,str,eI,t,REG.
65,m,O,=,r,@,=,l,aI,z,REG.
23,=,=,=,d,i:,=,m,@U,t,REG.
29,=,=,=,d,I,=,m,3:,r*,REG.
38,d,E,=,n,I,=,gr,eI,t,REG.
58,=,=,=,d,I,=,n,@U,t,REG.
205,=,=,=,d,I,=,n,aU,ns,REG.
34,=,=,=,=,=,=,d,E,nt,REG.
17,=,=,=,d,I,=,nj,u:,d,REG.
1172,=,=,=,d,I,=,n,aI,=,REG.
350,=,=,=,d,I,=,p,A:,t,REG.
209,=,=,=,d,I,=,p,I,kt,REG.
71,=,=,=,d,I,=,pl,i:,t,REG.
128,=,=,=,d,I,=,pl,O:,r*,REG.
203,=,=,=,d,I,=,pl,OI,=,REG.
10,p,O,=,pj,U,=,l,eI,t,REG.
56,=,=,=,d,I,=,p,O:,t,REG.
21,=,=,=,d,I,=,p,@U,z,REG.
242,d,I,=,p,O,=,z,I,t,REG.
41,=,=,=,d,I,=,pr,eI,v,REG.
16,d,E,=,pr,I,=,k,eI,t,REG.
14,pr,i:,=,S,I,=,=,eI,t,REG.
124,=,=,=,d,I,=,pr,E,s,REG.
10,=,=,=,d,I,=,r,eI,l,REG.
43,=,=,=,d,I,=,r,eI,ndZ,REG.
25,=,=,=,d,I,=,r,aI,d,REG.
448,=,=,=,d,I,=,s,E,nd,REG.
2950,=,=,=,d,I,=,skr,aI,b,REG.
23,d,E,=,s,I,=,kr,eI,t,REG.
336,=,=,=,d,I,=,z,3:,t,REG.
475,=,=,=,d,I,=,z,3:,v,REG.
16,d,E,=,s,I,=,k,eI,t,REG.
1561,=,=,=,d,I,=,z,aI,n,REG.
129,d,E,=,z,I,g,n,eI,t,REG.
430,d,I,=,z,aI,=,=,@,r*,REG.
24,=,=,=,d,I,=,z,I,st,REG.
13,d,E,=,s,@,=,l,eI,t,REG.
70,=,=,=,d,I,=,sp,E@,r*,REG.
259,=,=,=,d,I,=,sp,aI,z,REG.
11,=,=,=,d,I,=,sp,OI,l,REG.
30,=,=,=,d,E,=,st,I,n,REG.
1860,=,=,=,d,I,=,str,OI,=,REG.
99,=,=,=,d,I,=,t,&,tS,REG.
101,=,=,=,d,i:,=,t,eI,l,REG.
91,=,=,=,d,I,=,t,eI,n,REG.
436,=,=,=,d,I,=,t,E,kt,REG.
184,=,=,=,d,I,=,t,3:,r*,REG.
131,t,I@,=,r,I@,=,r,eI,t,REG.
927,d,I,=,t,3:,=,m,I,n,REG.
109,=,=,=,d,I,=,t,E,st,REG.
36,d,E,=,t,@,=,n,eI,t,REG.
33,d,i:,=,v,&,l,j,u:,=,REG.
67,d,E,=,v,@,=,st,eI,t,REG.
4492,d,I,=,v,E,=,l,@,p,REG.
33,d,i:,=,v,I,=,=,eI,t,REG.
334,=,=,=,d,I,=,v,aI,z,REG.
148,d,I,=,v,aU,=,=,@,r*,REG.
107,d,aI,=,=,@,g,n,@U,z,REG.
144,=,=,=,d,aI,=,=,@,l,REG.
16,=,=,=,=,=,=,d,aI,s,REG.
233,=,=,=,d,I,k,t,eI,t,REG.
4279,=,=,=,=,=,=,d,aI,=,REG.
63,=,=,=,d,aI,=,=,@,t,REG.
408,=,=,=,d,I,=,f,@,r*,REG.
107,r,E,n,S,I,=,=,eI,t,REG.
49,=,=,=,d,I,=,fj,u:,z,REG.
716,=,=,=,=,=,=,d,I,g,IRREG-I-V.
151,=,=,=,d,I,=,dZ,E,st,REG.
19,d,I,g,n,I,=,f,aI,=,REG.
17,=,=,=,d,aI,=,gr,E,s,REG.
41,=,=,=,d,aI,=,l,eI,t,REG.
96,=,=,=,d,aI,=,lj,u:,t,REG.
56,=,=,=,=,=,=,d,I,m,REG.
465,d,I,=,m,I,=,n,I,S,REG.
20,=,=,=,d,I,m,pl#,=,=,REG.
563,=,=,=,=,=,=,d,aI,n,REG.
300,=,=,=,=,=,=,d,I,p,REG.
952,=,=,=,d,I,=,r,E,kt,REG.
15,=,=,=,d,3:,=,t,I,=,REG.
20,d,I,s,=,eI,=,bl#,=,=,REG.
257,d,I,s,=,@,=,gr,i:,=,REG.
12,d,I,s,=,@,=,l,aU,=,REG.
1234,d,I,s,=,@,=,p,I@,r*,REG.
51,d,I,s,=,@,=,p,OI,nt,REG.
157,d,I,s,=,@,=,pr,u:,v,REG.
100,=,=,=,d,I,s,=,A:,m,REG.
14,s,@U,=,S,I,=,=,eI,t,REG.
37,=,=,=,d,I,s,b,&,nd,REG.
36,d,I,s,b,I,=,l,i:,v,REG.
15,=,=,=,d,I,s,b,3:,s,REG.
279,=,=,=,d,I,s,k,A:,d,REG.
84,=,=,=,d,I,=,s,3:,n,REG.
160,=,=,=,d,I,s,tS,A:,dZ,REG.
170,d,I,=,s,I,=,pl,I,n,REG.
24,=,=,=,d,I,s,kl,eI,m,REG.
140,=,=,=,d,I,s,kl,@U,z,REG.
41,d,I,s,k,V,=,l,@,r*,REG.
11,d,I,s,k,V,m,f,I,t,REG.
96,d,I,s,k,@,n,s,3:,t,REG.
37,d,I,s,k,@,=,n,E,kt,REG.
38,k,@,n,t,I,=,nj,u:,=,REG.
87,=,=,=,d,I,s,k,aU,nt,REG.
308,d,I,=,sk,V,=,r,I,dZ,REG.
2499,d,I,=,sk,V,=,v,@,r*,REG.
85,d,I,s,kr,E,=,d,I,t,REG.
115,skr,I,=,m,I,=,n,eI,t,REG.
2306,=,=,=,d,I,=,sk,V,s,REG.
17,=,=,=,d,I,s,d,eI,n,REG.
19,d,I,s,=,I,m,b,A:,k,REG.
18,=,I,m,b,aU,=,=,@,l,REG.
16,d,I,s,=,I,n,tS,A:,nt,REG.
33,d,I,s,=,I,n,g,eI,dZ,REG.
25,=,I,n,t,&,N,gl#,=,=,REG.
43,d,I,s,f,I,=,g,@,r*,REG.
20,=,=,=,d,I,s,g,O:,dZ,REG.
49,=,=,=,d,I,s,gr,eI,s,REG.
327,=,=,=,d,I,s,g,aI,z,REG.
94,=,=,=,d,I,s,g,V,st,REG.
30,=,=,=,=,=,=,d,I,S,REG.
25,d,I,s,h,A:,=,tn#,=,=,REG.
15,d,I,s,=,O,=,n,@,r*,REG.
32,=,I,=,l,u:,=,Zn#,=,=,REG.
10,d,I,s,=,I,n,kl,aI,n,REG.
15,d,I,s,=,I,n,f,E,kt,REG.
20,=,I,n,h,E,=,r,I,t,REG.
141,=,I,n,t,I,=,gr,eI,t,REG.
10,d,I,s,=,I,n,t,3:,r*,REG.
415,=,=,=,d,I,s,l,aI,k,REG.
23,d,I,s,l,@U,=,k,eI,t,REG.
61,=,=,=,d,I,s,l,O,dZ,REG.
103,d,I,s,m,&,n,tl#,=,=,REG.
85,=,=,=,d,I,s,m,eI,=,REG.
36,d,I,s,m,E,m,b,@,r*,REG.
626,=,=,=,d,I,s,m,I,s,REG.
40,=,=,=,d,I,s,m,aU,nt,REG.
57,d,I,s,=,@,=,b,eI,=,REG.
30,d,I,s,=,O:,=,d,@,r*,REG.
37,=,O:,=,g,@,=,n,aI,z,REG.
23,d,I,s,=,O:,=,r,I@,nt,REG.
12,=,O:,=,r,I@,n,t,eI,t,REG.
30,=,=,=,d,I,s,=,@U,n,REG.
38,d,I,=,sp,&,=,r,I,dZ,REG.
117,=,=,=,d,I,=,sp,&,tS,REG.
91,=,=,=,d,I,=,sp,E,l,REG.
166,=,=,=,d,I,=,sp,E,ns,REG.
177,=,=,=,d,I,=,sp,3:,s,REG.
26,d,I,=,sp,I,=,r,I,t,REG.
133,=,=,=,d,I,s,pl,eI,s,REG.
677,=,=,=,d,I,=,spl,eI,=,REG.
76,=,=,=,d,I,s,pl,i:,z,REG.
15,=,=,=,d,I,=,sp,O:,t,REG.
257,=,=,=,d,I,=,sp,@U,z,REG.
14,d,I,s,p,@,=,z,E,s,REG.
47,=,=,=,d,I,s,pr,u:,v,REG.
111,=,=,=,d,I,=,spj,u:,t,REG.
36,kw,O,=,l,I,=,f,aI,=,REG.
37,d,I,s,kw,aI,=,=,@,t,REG.
109,d,I,s,r,I,=,g,A:,d,REG.
143,=,=,=,d,I,s,r,V,pt,REG.
71,s,&,=,t,I,s,f,aI,=,REG.
41,=,=,=,d,I,=,s,E,kt,REG.
17,d,I,=,s,E,m,bl#,=,=,REG.
48,s,E,=,m,I,=,n,eI,t,REG.
21,=,=,=,d,I,=,s,E,nt,REG.
82,d,I,=,s,I,=,p,eI,t,REG.
31,s,@U,=,S,I,=,=,eI,t,REG.
330,=,=,=,d,I,=,z,O,lv,REG.
47,=,=,=,d,I,=,sw,eI,d,REG.
15,=,=,=,d,I,=,st,@,ns,REG.
36,=,=,=,d,I,=,st,E,nd,REG.
53,=,=,=,d,I,=,st,I,l,REG.
568,d,I,=,st,I,N,gw,I,S,REG.
261,=,=,=,d,I,=,st,O:,t,REG.
170,=,=,=,d,I,=,str,&,kt,REG.
188,=,=,=,d,I,=,str,E,s,REG.
417,d,I,=,str,I,=,bj,u:,t,REG.
59,=,=,=,d,I,s,tr,V,st,REG.
779,=,=,=,d,I,=,st,3:,b,REG.
24,=,=,=,=,=,=,d,I,tS,REG.
225,=,=,=,=,=,=,d,aI,v,REG.
225,=,=,=,=,=,=,d,aI,v,IRREG-aI-@U.
37,=,=,=,d,aI,=,v,3:,dZ,REG.
66,v,3:,=,s,I,=,f,aI,=,REG.
216,=,=,=,d,aI,=,v,3:,t,REG.
1146,=,=,=,d,I,=,v,aI,d,REG.
56,=,=,=,d,I,=,v,aI,n,REG.
295,=,=,=,d,I,=,v,O:,s,REG.
38,=,=,=,d,aI,=,v,V,ldZ,REG.
21,=,=,=,d,I,=,z,I,=,REG.
80717,=,=,=,=,=,=,d,u:,=,IRREG-OTHER.
20,=,=,=,=,=,=,d,O,k,REG.
30,=,=,=,=,=,=,d,O,k,REG.
24,=,=,=,d,O,k,t,@,r*,REG.
79,d,O,=,kj,U,=,m,E,nt,REG.
84,=,=,=,=,=,=,d,O,dZ,REG.
17,=,=,=,=,=,=,d,O,f,REG.
76,=,=,=,=,=,=,d,O,g,REG.
70,m,E,=,st,I,=,k,eI,t,REG.
759,d,O,=,m,I,=,n,eI,t,REG.
39,d,O,=,m,I,=,n,I@,r*,REG.
33,=,=,=,=,=,=,d,O,n,REG.
80,=,=,=,d,@U,=,n,eI,t,REG.
24,=,=,=,d,u:,=,dl#,=,=,REG.
189,=,=,=,=,=,=,d,u:,m,REG.
19,=,=,=,=,=,=,d,@U,p,REG.
16,=,=,=,=,=,=,d,@U,s,REG.
113,=,=,=,=,=,=,d,O,t,REG.
490,=,=,=,d,V,=,bl#,=,=,REG.
10,d,V,=,bl#,=,=,=,=,=,REG.
18,d,V,=,bl#,=,=,=,=,=,REG.
612,=,=,=,=,=,=,d,aU,t,REG.
37,=,=,=,=,=,=,d,aU,s,REG.
130,=,=,=,=,=,=,d,aU,n,REG.
17,=,=,=,d,aU,n,gr,eI,d,REG.
126,=,=,=,=,=,=,d,@U,z,REG.
105,=,=,=,=,=,=,dr,A:,ft,REG.
867,=,=,=,=,=,=,dr,&,g,REG.
534,=,=,=,=,=,=,dr,eI,n,REG.
68,dr,&,=,m,@,=,t,aI,z,REG.
133,=,=,=,=,=,=,dr,eI,p,REG.
12,=,=,=,=,=,=,dr,&,t,REG.
3853,=,=,=,=,=,=,dr,O:,=,IRREG-O-u.
25,=,=,=,=,=,=,dr,O:,l,REG.
154,=,=,=,=,=,=,dr,E,d,REG.
672,=,=,=,=,=,=,dr,i:,m,REG.
672,=,=,=,=,=,=,dr,i:,m,IRREG-i:-E+t.
24,=,=,=,=,=,=,dr,E,dZ,REG.
76,=,=,=,=,=,=,dr,E,ntS,REG.
1467,=,=,=,=,=,=,dr,E,s,REG.
63,=,=,=,dr,I,=,bl#,=,=,REG.
573,=,=,=,=,=,=,dr,I,ft,REG.
209,=,=,=,=,=,=,dr,I,l,REG.
2321,=,=,=,=,=,=,dr,I,Nk,IRREG-I-&.
183,=,=,=,=,=,=,dr,I,p,REG.
3907,=,=,=,=,=,=,dr,aI,v,IRREG-aI-@U.
37,=,=,=,=,=,=,dr,@U,n,REG.
34,=,=,=,=,=,=,dr,u:,l,REG.
148,=,=,=,=,=,=,dr,u:,p,REG.
2551,=,=,=,=,=,=,dr,O,p,REG.
448,=,=,=,=,=,=,dr,aU,n,REG.
20,=,=,=,=,=,=,dr,aU,z,REG.
59,=,=,=,=,=,=,dr,V,g,REG.
97,=,=,=,=,=,=,dr,V,m,REG.
853,=,=,=,=,=,=,dr,aI,=,REG.
58,=,=,=,=,=,=,d,V,b,REG.
